Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
In-Lb2,3.71390e+03,0.00000e+00,0.00000e+00,5.04319e-01
In-Mz1,3.73400e+02,3.84152e+01,0.00000e+00,4.17840e-01
In-Mg1,6.48100e+02,3.84152e+00,0.00000e+00,6.57558e-01
Sn-La1,3.44400e+03,1.28584e+02,0.00000e+00,5.09935e-01
Sn-La2,3.43550e+03,1.28584e+01,0.00000e+00,5.09935e-01
Sn-Lb1,3.66280e+03,6.42922e+01,0.00000e+00,5.47270e-01
Sn-Lb2,3.90490e+03,1.89019e+01,0.00000e+00,5.09935e-01
Sn-Mz1,4.04700e+02,0.00000e+00,0.00000e+00,4.21105e-01
Sn-Mg1,6.90500e+02,0.00000e+00,0.00000e+00,6.49928e-01
Sb-La1,3.60470e+03,1.32966e+02,0.00000e+00,5.12226e-01
Sb-La2,3.59530e+03,1.32966e+01,0.00000e+00,5.12226e-01
Sb-Lb1,3.84350e+03,6.72810e+01,0.00000e+00,5.51281e-01
Sb-Lb2,4.10080e+03,2.07428e+01,0.00000e+00,5.12226e-01
Sb-Lb3,3.93270e+03,1.46263e+01,0.00000e+00,6.02333e-01
Sb-Mz1,4.38500e+02,0.00000e+00,0.00000e+00,4.21279e-01
Sb-Mg1,7.34200e+02,0.00000e+00,0.00000e+00,6.39031e-01
Te-La1,3.76930e+03,2.05804e+02,0.00000e+00,5.26569e-01
Te-La2,3.75890e+03,2.05804e+01,0.00000e+00,5.26569e-01
Te-Lb1,4.02950e+03,1.05577e+02,0.00000e+00,5.68362e-01
Te-Lb2,4.30160e+03,3.35460e+01,0.00000e+00,5.26569e-01
Te-Mz1,4.72300e+02,9.22737e+01,0.00000e+00,4.32137e-01
Te-Mg1,7.78900e+02,9.22737e+00,0.00000e+00,6.44967e-01
I-La1,3.93770e+03,2.76271e+02,0.00000e+00,5.14608e-01
I-La2,3.92580e+03,2.76271e+01,0.00000e+00,5.14608e-01
I-Lb1,4.22080e+03,1.43384e+02,0.00000e+00,5.57163e-01
I-Lb2,4.50750e+03,4.69660e+01,0.00000e+00,5.14608e-01
I-Lb3,4.31350e+03,2.76271e+01,0.00000e+00,6.06668e-01
I-Mz1,5.08600e+02,6.73068e+01,0.00000e+00,4.22139e-01
I-Mg1,8.25000e+02,6.73068e+00,0.00000e+00,6.19924e-01
Xe-La1,4.10990e+03,2.32985e+02,0.00000e+00,5.24463e-01
